input_index,url,name_bg,brand_name,status,confidence,warnings
282,https://gil.bg/tia/kolieta/kolieaya,"Колие ""Ая""",GIL,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|MISSING_DESCRIPTION|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
283,https://gil.bg/tia/kolieta/koliesay,"Колие ""Сай""",GIL,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|MISSING_DESCRIPTION|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
284,https://gil.bg/tia/grivni/grivnakay,"Гривна ""Кай""",GIL,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|MISSING_DESCRIPTION|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
285,https://gil.bg/tia/obeci/obecikarmen,"Обеци ""Кармен""",GIL,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|MISSING_DESCRIPTION|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
286,https://gil.bg/tia/obeci/obecisay,"Обеци ""Сай""",GIL,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|MISSING_DESCRIPTION|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
287,https://gil.bg/tia/obeci/obecisaya,"Обеци ""Сая""",GIL,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|MISSING_DESCRIPTION|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
288,https://gil.bg/tia/obeci/obecirose,"Обеци ""Роуз""",GIL,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|MISSING_DESCRIPTION|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
289,https://www.ellegemdesigns.com/product-155/elastichna-grivna-s-cheren-turmalin,Еластична гривна с черен турмалин,Elle Gem Designs,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
290,https://www.ellegemdesigns.com/product-156/perleno-kolie-sas-srebarna-zakopchalka,Перлено колие със сребърна закопчалка,Elle Gem Designs,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
291,https://www.ellegemdesigns.com/product-151/grivna-s-morzova-azbuka-po-zayavka-na-klienta,Гривна с морзова азбукa по заявка на клиента,Elle Gem Designs,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
