URL,PAGE_TYPE,PRODUCT_COUNT,INCOMING_HTML_PAGES,REACHABLE_FROM_HOME,IN_SITEMAP,INDEXABILITY,TITLE,GENERATED_BY
/kozmetika-za-hidratatsiya/,intent_landing,9,6,YES,YES,INDEX,Козметика за хидратация – грижа и състав | Българитъм,src/pages/[...slug].astro or dedicated route
/obetsi-ot-srebro/,intent_landing,9,46,YES,YES,INDEX,Обеци от сребро – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/personaliziran-podarak-za-mazh/,intent_landing,9,24,YES,YES,INDEX,Персонализиран подарък за мъж – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/rachno-izraboteni-grivni/,intent_landing,9,55,YES,YES,INDEX,Ръчно изработени гривни | Българитъм,src/pages/[...slug].astro or dedicated route
/damska-pizhama-pamuk/,intent_landing,10,43,YES,YES,INDEX,Дамски памучни пижами – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-krashtene/,intent_landing,10,14,YES,YES,INDEX,Подарък за кръщене – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/zabaven-podarak-za-zhena/,intent_landing,10,22,YES,YES,INDEX,Забавен подарък за жена – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/bizhuta-s-perli/,intent_landing,11,46,YES,YES,INDEX,Бижута с перли – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-mazh-za-sveti-valentin/,intent_landing,11,24,YES,YES,INDEX,Подарък за мъж за Свети Валентин | Българитъм,src/pages/[...slug].astro or dedicated route
/rachno-izraboteni-obetsi/,intent_landing,11,58,YES,YES,INDEX,Ръчно изработени обеци | Българитъм,src/pages/[...slug].astro or dedicated route
/romantichen-podarak-za-zhena/,intent_landing,11,22,YES,YES,INDEX,Романтичен подарък за жена – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/k/kozmetika-tyalo/,taxonomy_landing,12,35,YES,YES,INDEX,Българска козметика за тяло | Българитъм,src/pages/k/[slug].astro
/mazhki-bizhuta/,intent_landing,12,61,YES,YES,INDEX,Мъжки бижута – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-leneni-drehi/,intent_landing,13,3,YES,YES,INDEX,Български ленени дрехи – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarsko-spalno-belyo/,intent_landing,13,1,YES,YES,INDEX,Българско спално бельо – за дома | Българитъм,src/pages/[...slug].astro or dedicated route
/k/dobavki-i-ekstrakti/,taxonomy_landing,13,23,YES,YES,INDEX,Добавки и екстракти | Здраве и грижа | Българитъм,src/pages/k/[slug].astro
/k/domashen-tekstil/,taxonomy_landing,13,26,YES,YES,INDEX,Български домашен текстил – за дома | Българитъм,src/pages/k/[slug].astro
/k/imunitet/,taxonomy_landing,13,0,NO,NO,INDEX,Добавки и екстракти | Здраве и грижа | Българитъм,src/pages/k/[slug].astro
/k/kozmetika-lice/,taxonomy_landing,13,38,YES,YES,INDEX,Българска козметика за лице – грижа и състав | Българитъм,src/pages/k/[slug].astro
/k/vitamini/,taxonomy_landing,13,0,NO,NO,INDEX,Добавки и екстракти | Здраве и грижа | Българитъм,src/pages/k/[slug].astro
/k/dekor/,taxonomy_landing,15,0,NO,NO,INDEX,Декор | Дом и интериор | Българитъм,src/pages/k/[slug].astro
/k/dekoraciq-za-doma/,taxonomy_landing,15,31,YES,YES,INDEX,Декор | Дом и интериор | Българитъм,src/pages/k/[slug].astro
/personaliziran-podarak-za-bebe/,intent_landing,15,8,YES,YES,INDEX,Персонализиран подарък за бебе | Българитъм,src/pages/[...slug].astro or dedicated route
/personaliziran-podarak-za-zhena/,intent_landing,15,22,YES,YES,INDEX,Персонализиран подарък за жена | Българитъм,src/pages/[...slug].astro or dedicated route
/rachno-izraboteni-kartichki/,intent_landing,15,0,NO,YES,INDEX,Ръчно изработени картички | Българитъм,src/pages/[...slug].astro or dedicated route
/k/kuhnya/,taxonomy_landing,16,30,YES,YES,INDEX,Кухня | Дом и интериор | Българитъм,src/pages/k/[slug].astro
/bulgarski-drehi/rokli/,clothing_landing,17,44,YES,YES,INDEX,Български рокли – модели и идеи | Българитъм,src/pages/bulgarski-drehi/[slug].astro
/k/zdrave-i-grizha/,taxonomy_landing,18,29,YES,YES,INDEX,Здраве и грижа | Български продукти | Българитъм,src/pages/k/[slug].astro
/podarak-za-novorodeno/,intent_landing,18,8,YES,YES,INDEX,Подарък за новородено – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/svatben-album-rachna-izrabotka/,intent_landing,18,29,YES,YES,INDEX,Сватбен албум ръчна изработка | Българитъм,src/pages/[...slug].astro or dedicated route
/naturalna-bulgarska-kozmetika/,intent_landing,21,3,YES,YES,INDEX,Българска натурална козметика – грижа и състав | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-bebe-momche/,intent_landing,21,8,YES,YES,INDEX,Подарък за бебе момченце – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-podaratsi/za-dete/,gift_landing,22,93,YES,YES,INDEX,Подарък за дете | Българитъм,src/pages/bulgarski-podaratsi/[slug].astro
/k/za-dete/,taxonomy_landing,22,0,NO,NO,INDEX,Подаръци за дете | Подаръци | Българитъм,src/pages/k/[slug].astro
/podarak-za-sveti-valentin-za-zhena/,intent_landing,23,22,YES,YES,INDEX,Подарък за жена за Свети Валентин | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-bebe-momiche/,intent_landing,24,8,YES,YES,INDEX,Подарък за бебе момиченце – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-damski-pizhami/,intent_landing,25,68,YES,YES,INDEX,Български дамски пижами от локални марки | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-drehi/pizhami/,clothing_landing,25,32,YES,YES,INDEX,Български пижами | Българитъм,src/pages/bulgarski-drehi/[slug].astro
/bulgarski-podaratsi/za-bebe/,gift_landing,25,93,YES,YES,INDEX,Подарък за бебе | Българитъм,src/pages/bulgarski-podaratsi/[slug].astro
/k/podaraci-za-bebe/,taxonomy_landing,25,0,NO,NO,INDEX,Подаръци за бебе | Подаръци | Българитъм,src/pages/k/[slug].astro
/k/za-bebe/,taxonomy_landing,25,0,NO,NO,INDEX,Подаръци за бебе | Подаръци | Българитъм,src/pages/k/[slug].astro
/bulgarski-podaratsi/za-svatba/,gift_landing,27,93,YES,YES,INDEX,Подаръци за сватба | Българитъм,src/pages/bulgarski-podaratsi/[slug].astro
/k/podaraci-za-svatba/,taxonomy_landing,27,0,NO,NO,INDEX,Подаръци за сватба | Подаръци | Българитъм,src/pages/k/[slug].astro
/k/za-svatba/,taxonomy_landing,27,0,NO,NO,INDEX,Подаръци за сватба | Подаръци | Българитъм,src/pages/k/[slug].astro
/rachno-izraboteni-bizhuta/,intent_landing,27,82,YES,YES,INDEX,Български ръчно изработени бижута | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-suveniri/,intent_landing,32,1,NO,YES,INDEX,Български сувенири | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-damski-sportni-ekipi/,intent_landing,36,84,YES,YES,INDEX,Български дамски спортни екипи – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/k/bijuta/,taxonomy_landing,36,923,YES,YES,INDEX,Български бижута – материал и детайли | Българитъм,src/pages/k/[slug].astro
/k/srebarni-bijuta/,taxonomy_landing,36,0,NO,NO,INDEX,Български бижута – материал и детайли | Българитъм,src/pages/k/[slug].astro
/k/mazhko-obleklo/,taxonomy_landing,38,107,YES,YES,INDEX,Български мъжки дрехи от локални марки | Българитъм,src/pages/k/[slug].astro
/k/kozmetika/,taxonomy_landing,44,923,YES,YES,INDEX,Българска козметика | Българитъм,src/pages/k/[slug].astro
/k/deca/,taxonomy_landing,49,72,YES,YES,INDEX,Деца | Български продукти | Българитъм,src/pages/k/[slug].astro
/podarak-za-mazh-za-rozhden-den/,intent_landing,53,24,YES,YES,INDEX,Подарък за мъж за рожден ден – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/k/dom-i-interior/,taxonomy_landing,68,0,NO,NO,INDEX,Дом и интериор | Български продукти | Българитъм,src/pages/k/[slug].astro
/k/za-doma/,taxonomy_landing,68,923,YES,YES,INDEX,Дом и интериор | Български продукти | Българитъм,src/pages/k/[slug].astro
/bulgarski-podaratsi/za-mazh/,gift_landing,70,93,YES,YES,INDEX,Подарък за мъж | Българитъм,src/pages/bulgarski-podaratsi/[slug].astro
/k/podaraci-za-nego/,taxonomy_landing,70,0,NO,NO,INDEX,Подаръци за мъж | Подаръци | Българитъм,src/pages/k/[slug].astro
/k/za-mazh/,taxonomy_landing,70,0,NO,NO,INDEX,Подаръци за мъж | Подаръци | Българитъм,src/pages/k/[slug].astro
/k/aksesoari/,taxonomy_landing,79,923,YES,YES,INDEX,Аксесоари | Български продукти | Българитъм,src/pages/k/[slug].astro
/bulgarski-podaratsi/rachno-izraboteni/,gift_landing,109,14,YES,YES,INDEX,Ръчно изработени подаръци | Българитъм,src/pages/bulgarski-podaratsi/[slug].astro
/podarak-za-rozhden-den-na-zhena/,intent_landing,115,22,YES,YES,INDEX,Подарък за рожден ден на жена – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-zhena-za-rozhden-den/,intent_landing,115,22,YES,YES,INDEX,Подарък за жена за рожден ден | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-podaratsi/za-zhena/,gift_landing,134,93,YES,YES,INDEX,Подарък за жена | Българитъм,src/pages/bulgarski-podaratsi/[slug].astro
/k/podaraci-za-jena/,taxonomy_landing,134,0,NO,NO,INDEX,Подаръци за жена | Подаръци | Българитъм,src/pages/k/[slug].astro
/k/za-zhena/,taxonomy_landing,134,0,NO,NO,INDEX,Подаръци за жена | Подаръци | Българитъм,src/pages/k/[slug].astro
/rachno-izraboteni/,intent_landing,138,923,YES,YES,INDEX,Ръчно изработени | Българитъм,src/pages/[...slug].astro or dedicated route
/k/damsko-obleklo/,taxonomy_landing,150,238,YES,YES,INDEX,Български дамски дрехи от локални марки | Българитъм,src/pages/k/[slug].astro
/bulgarski-drehi/,clothing_landing,203,923,YES,YES,INDEX,Качествени български дрехи от български марки | Българитъм,src/pages/[...slug].astro or dedicated route
/k/bulgarski-drehi/,taxonomy_landing,203,0,NO,NO,INDEX,Качествени български дрехи от български марки | Българитъм,src/pages/k/[slug].astro
/k/obleklo/,taxonomy_landing,203,0,NO,NO,INDEX,Качествени български дрехи от български марки | Българитъм,src/pages/k/[slug].astro
/bulgarski-podaratsi/,gift_landing,242,925,YES,YES,INDEX,Идеи за подарък от български брандове | Българитъм,src/pages/[...slug].astro or dedicated route
/k/bulgarski-podaratsi/,taxonomy_landing,242,0,NO,NO,INDEX,Подаръци | Български продукти | Българитъм,src/pages/k/[slug].astro
/k/idei-za-podarak/,taxonomy_landing,242,0,NO,NO,INDEX,Подаръци | Български продукти | Българитъм,src/pages/k/[slug].astro
/k/podaraci/,taxonomy_landing,242,0,NO,NO,INDEX,Подаръци | Български продукти | Българитъм,src/pages/k/[slug].astro
